"","Plot.Code","Census.No","m.rates.annual","region"
"94","BDF-13",2,0.00757392189502293,"2AMA_EC"
"95","BDF-13",3,0.0104622025407677,"2AMA_EC"
"96","BDF-13",4,0.00965562113229768,"2AMA_EC"
"97","BDF-13",5,0.0117344423216422,"2AMA_EC"
"98","BDF-13",6,0.0117623303457031,"2AMA_EC"
"99","BDF-14",2,0.00840418879239824,"2AMA_EC"
"100","BDF-14",3,0.0256975859264563,"2AMA_EC"
"101","BDF-14",4,0.0107535215929344,"2AMA_EC"
"102","BDF-14",5,0.00921139802515203,"2AMA_EC"
"103","BDF-14",6,0.00860595479370363,"2AMA_EC"
"104","BDF-14",7,0.00644921349240268,"2AMA_EC"
"105","BEE-01",2,0.0217338257501176,"3AMA_W"
"106","BEE-01",3,0.0127099677300673,"3AMA_W"
"107","BEE-01",4,0.0220437101549771,"3AMA_W"
"108","BEE-05",2,0.0198623859570154,"3AMA_W"
"109","BEE-05",3,0.0146688098259135,"3AMA_W"
"110","BEE-05",4,0.0177374413033287,"3AMA_W"
"111","BES-01",2,0.0147191772120153,"3AMA_W"
"112","BES-01",3,0.0253553917014741,"3AMA_W"
"113","BNT-01",10,0.0133465905482999,"2AMA_EC"
"114","BNT-01",11,0.00832504307464799,"2AMA_EC"
"115","BNT-01",12,0.0118147607284887,"2AMA_EC"
"116","BNT-01",13,0.00683274794126665,"2AMA_EC"
"117","BNT-01",14,0.00678441015627107,"2AMA_EC"
"118","BNT-01",15,0.0117647058823529,"2AMA_EC"
"119","BNT-01",16,0.0134453781512605,"2AMA_EC"
"120","BNT-01",17,0.00846866963128312,"2AMA_EC"
"121","BNT-01",18,0.015136493911292,"2AMA_EC"
"122","BNT-01",19,0.00454975270336,"2AMA_EC"
"123","BNT-01",20,0.0110721281283004,"2AMA_EC"
"124","BNT-01",21,0.0121286684380636,"2AMA_EC"
"125","BNT-01",22,0.00516494239071585,"2AMA_EC"
"126","BNT-01",23,0.0170068027210885,"2AMA_EC"
"127","BNT-01",24,0.0149643031916499,"2AMA_EC"
"128","BNT-01",25,0.0224858680117509,"2AMA_EC"
"129","BNT-01",3,0.0047254101432318,"2AMA_EC"
"130","BNT-01",4,0.020442930153322,"2AMA_EC"
"131","BNT-01",5,0.0102915951972555,"2AMA_EC"
"132","BNT-01",6,0.00515093525824861,"2AMA_EC"
"133","BNT-01",7,0.0101939398803937,"2AMA_EC"
"134","BNT-01",8,0.00168350168350173,"2AMA_EC"
"135","BNT-01",9,0.00168634064080941,"2AMA_EC"
"136","BNT-04",10,0.0132318892410158,"2AMA_EC"
"137","BNT-04",11,0.00752833793603958,"2AMA_EC"
"138","BNT-04",12,0.00332006413753272,"2AMA_EC"
"139","BNT-04",13,0.0228159457849515,"2AMA_EC"
"140","BNT-04",14,0.014827018121911,"2AMA_EC"
"141","BNT-04",15,0.00651465798045603,"2AMA_EC"
"142","BNT-04",16,0.0147204940733008,"2AMA_EC"
"143","BNT-04",17,0.0164040925788408,"2AMA_EC"
"144","BNT-04",18,0.0198575087542299,"2AMA_EC"
"145","BNT-04",19,0.00678840570611139,"2AMA_EC"
"146","BNT-04",20,0.00837258700782606,"2AMA_EC"
"147","BNT-04",21,0.00508628884710716,"2AMA_EC"
"148","BNT-04",22,0.0133333333333333,"2AMA_EC"
"149","BNT-04",23,0.0090441819896101,"2AMA_EC"
"150","BNT-04",3,0.0132465928437788,"2AMA_EC"
"151","BNT-04",4,0.0275080906148867,"2AMA_EC"
"152","BNT-04",5,0.00814332247557004,"2AMA_EC"
"153","BNT-04",6,0.0146725449364592,"2AMA_EC"
"154","BNT-04",7,0.00161389629333963,"2AMA_EC"
"155","BNT-04",8,0.012151119539016,"2AMA_EC"
"156","BNT-04",9,0.00987825040045498,"2AMA_EC"
"157","BNT-05",2,0.0205354457937835,"2AMA_EC"
